monthly_budget,days_into_month,rent_or_pg_spent_so_far,avg_daily_spend,std_daily_spend,trend_slope,max_daily_spend,overspend_risk
15491.0,27,6060.29,592.94,287.55,11.0176,1304.38,SAFE
9682.0,25,3909.77,172.67,37.37,4.9929,238.24,SAFE
17208.0,28,6269.7,307.61,63.38,7.5432,397.28,SAFE
18433.0,6,8263.92,430.13,36.08,11.0825,483.22,HIGH_RISK
8552.0,18,4492.99,156.33,34.12,6.4772,220.36,SAFE
19894.0,21,8925.97,401.76,89.13,14.1601,549.69,SAFE
20003.0,2,9206.71,406.3,139.41,-278.8276,545.71,SAFE
23596.0,18,10885.35,320.87,70.36,13.1347,445.53,SAFE
18238.0,1,7997.32,408.6,0.0,0.0,408.6,CAUTION
19970.0,22,7521.73,377.38,83.92,-12.7801,508.02,SAFE
18724.0,21,6370.38,451.41,95.48,15.1788,616.34,SAFE
20373.0,15,9747.44,505.06,114.44,25.6238,739.27,CAUTION
16133.0,9,8354.5,331.31,22.43,3.3696,357.77,CAUTION
13450.0,1,4985.26,194.8,0.0,0.0,194.8,SAFE
12806.0,15,5714.28,234.37,12.11,-0.0496,259.31,SAFE
19556.0,15,8555.06,459.47,109.21,-23.9963,656.36,SAFE
11610.0,29,5496.19,184.46,42.29,4.9096,262.19,SAFE
11225.0,27,5054.05,371.27,169.96,0.2977,744.69,SAFE
22210.0,9,8463.72,428.53,25.37,1.6512,467.0,SAFE
15426.0,22,7497.57,314.34,72.76,11.0961,445.47,SAFE
24669.0,21,8629.02,674.5,133.54,-21.4173,944.19,SAFE
8560.0,10,3764.54,244.1,85.95,10.0254,378.17,HIGH_RISK
16286.0,14,6425.04,617.67,233.75,-5.0829,1001.19,CAUTION
14610.0,19,6037.3,311.63,104.8,3.4011,630.89,SAFE
9549.0,7,4582.23,116.55,54.28,2.9044,200.56,SAFE
24052.0,18,8018.23,511.1,36.21,1.99,561.63,SAFE
11631.0,29,4872.09,194.09,44.22,5.0975,276.41,SAFE
18759.0,10,6181.72,592.95,36.35,-3.2099,636.48,CAUTION
22089.0,21,8112.64,484.56,239.31,15.9803,1211.0,SAFE
22571.0,11,9347.38,526.1,185.59,0.5523,779.17,SAFE
24406.0,29,8995.05,1109.34,424.84,-4.5999,2171.58,SAFE
22537.0,6,8021.15,645.37,246.75,-20.9318,958.57,SAFE
18775.0,2,8394.21,253.94,93.01,-186.0207,346.95,SAFE
17324.0,12,8372.29,538.29,241.47,29.7612,1175.84,HIGH_RISK
9733.0,15,4546.51,189.66,46.62,10.4764,265.93,SAFE
10096.0,21,4215.96,147.45,9.9,-0.3116,164.59,SAFE
8204.0,6,2945.97,119.76,8.04,0.3823,130.21,SAFE
22289.0,24,9060.92,885.39,349.17,-1.8709,1658.09,SAFE
22357.0,16,7999.11,963.09,446.21,-8.4521,2284.28,CAUTION
15193.0,17,5005.23,351.44,73.28,-14.5605,471.77,SAFE
13223.0,18,5096.23,564.73,273.06,3.3386,1100.38,CAUTION
9125.0,26,3574.66,121.8,24.13,3.1172,163.23,SAFE
13433.0,11,6129.93,226.65,55.99,-17.2338,318.2,SAFE
11830.0,23,4168.04,338.28,24.66,-0.7872,376.26,SAFE
24807.0,24,9438.81,381.91,72.43,10.0525,519.45,SAFE
22849.0,9,8896.45,671.22,150.33,57.1762,873.12,HIGH_RISK
20132.0,3,8844.88,415.18,38.76,4.2168,446.69,CAUTION
21319.0,13,9035.16,749.24,355.69,25.4241,1406.99,HIGH_RISK
17984.0,8,7455.41,340.49,138.22,18.2432,614.97,CAUTION
13808.0,13,6281.91,171.92,37.32,-9.6872,249.61,SAFE
24566.0,9,8951.82,612.37,171.46,33.984,796.85,HIGH_RISK
23812.0,8,10506.78,541.77,122.95,-51.322,729.03,SAFE
8935.0,20,4267.5,141.97,31.41,5.2688,183.38,SAFE
9998.0,26,5103.96,171.58,85.91,-0.805,416.6,SAFE
19738.0,30,8119.53,750.61,375.8,4.1857,1664.38,SAFE
21865.0,2,8087.83,470.02,183.61,367.2152,653.62,HIGH_RISK
8358.0,4,3403.95,186.79,46.89,21.0711,262.75,HIGH_RISK
10151.0,22,4505.14,240.21,118.94,2.031,526.0,SAFE
10808.0,19,4994.69,404.24,153.11,-6.5073,744.91,SAFE
14337.0,9,5357.42,432.5,33.1,-4.7033,474.46,CAUTION
17959.0,8,8569.0,381.36,93.52,-40.1462,545.76,SAFE
17101.0,28,7701.76,203.07,13.75,-0.0964,223.34,SAFE
9589.0,20,4290.47,181.19,11.79,0.4797,198.27,SAFE
22087.0,9,9482.36,308.4,70.85,-26.6321,432.76,SAFE
23927.0,12,10134.2,314.27,68.7,19.038,440.34,SAFE
24211.0,19,11638.83,481.44,210.76,1.8653,923.44,SAFE
24363.0,12,10311.18,362.68,82.49,-23.3957,490.03,SAFE
16578.0,15,7053.85,268.02,56.55,12.7545,365.24,SAFE
16224.0,23,6770.26,303.02,22.3,0.3343,333.75,SAFE
24661.0,9,9728.57,582.02,134.31,-50.3487,823.39,SAFE
8215.0,22,3670.03,179.49,12.06,0.0053,204.5,SAFE
14474.0,13,6103.12,324.62,24.22,-2.1865,364.21,SAFE
11642.0,29,6144.0,193.21,43.46,-5.0401,277.62,SAFE
10176.0,25,4626.26,177.32,37.88,5.0566,241.54,SAFE
18521.0,19,7096.3,519.66,117.28,-20.7635,757.01,SAFE
22300.0,24,9451.34,626.11,301.2,10.6748,1527.71,SAFE
19814.0,16,9019.78,402.21,89.48,18.8444,546.22,SAFE
20067.0,17,10346.79,402.6,90.07,17.9744,556.88,SAFE
15106.0,26,5915.55,587.01,261.24,2.9041,1064.25,SAFE
21521.0,20,9012.05,450.18,25.47,0.5579,502.55,SAFE
13941.0,29,4910.37,364.7,171.03,1.7585,731.37,SAFE
15619.0,1,5694.15,416.81,0.0,0.0,416.81,CAUTION
23226.0,24,10503.68,706.57,325.79,10.6781,1534.63,SAFE
13119.0,1,4829.72,232.01,0.0,0.0,232.01,SAFE
9551.0,18,3772.54,389.51,155.88,8.5287,905.4,CAUTION
18659.0,18,8930.74,221.01,48.22,-9.016,294.27,SAFE
10668.0,15,4529.08,279.66,111.23,7.0804,564.85,SAFE
8661.0,9,4264.49,191.83,48.66,-18.5862,274.19,SAFE
13520.0,23,4901.79,467.83,221.05,17.6752,1169.62,SAFE
20207.0,15,7547.67,408.33,142.66,6.6262,697.96,SAFE
8504.0,22,4042.48,137.06,31.13,4.7003,202.39,SAFE
8634.0,10,3283.88,213.47,78.76,6.4877,337.24,CAUTION
19767.0,15,7154.27,582.63,241.45,21.6154,1218.24,CAUTION
11516.0,13,5166.05,243.41,12.25,-1.2338,263.34,SAFE
18744.0,15,8682.39,434.14,140.91,-0.126,767.55,SAFE
13710.0,5,6443.37,399.97,95.93,43.5676,514.95,HIGH_RISK
23623.0,11,11516.79,589.61,144.42,-44.4023,838.2,SAFE
12594.0,22,5313.39,291.6,17.96,0.4331,318.32,SAFE
11262.0,27,4691.33,230.96,55.2,-6.8572,329.57,SAFE
24590.0,12,10589.86,641.81,121.99,34.0217,821.51,CAUTION
14582.0,16,6716.84,276.85,63.32,-13.3481,385.73,SAFE
11135.0,10,5101.17,189.51,15.1,3.5736,214.66,SAFE
12331.0,24,4387.99,303.7,23.81,-0.1931,341.37,SAFE
15657.0,25,6909.78,276.28,18.82,0.4967,306.77,SAFE
10032.0,5,4440.61,204.81,52.2,-36.0757,261.6,SAFE
11262.0,6,5097.15,416.02,76.91,14.0161,531.65,HIGH_RISK
19874.0,10,7519.13,445.83,107.65,-36.2569,645.07,SAFE
16112.0,20,6268.43,289.4,64.33,10.9027,387.0,SAFE
22996.0,16,9238.43,508.01,113.77,-23.9624,708.46,SAFE
23549.0,12,10045.79,433.94,102.92,28.7735,617.81,CAUTION
21682.0,11,8310.78,396.22,18.66,-0.173,433.55,SAFE
8307.0,26,3925.07,166.17,33.09,-4.2386,217.88,SAFE
17220.0,3,7414.88,213.85,6.23,-6.7131,222.65,SAFE
20721.0,20,9291.68,338.39,24.05,-2.2006,375.3,SAFE
24474.0,18,9488.93,532.46,125.41,23.3968,749.33,SAFE
12006.0,26,5847.2,223.8,17.77,0.4228,252.12,SAFE
14509.0,14,6198.82,529.41,205.52,10.8838,897.87,CAUTION
20306.0,11,7465.24,511.66,32.56,0.5793,555.68,SAFE
9956.0,16,3679.42,224.99,15.28,-0.6148,254.88,SAFE
17673.0,6,7809.58,333.02,80.52,46.264,434.59,HIGH_RISK
11164.0,23,4695.21,268.23,107.63,-3.5291,558.46,SAFE
22038.0,30,9671.76,617.41,284.27,-0.28,1571.66,SAFE
21179.0,12,8247.2,440.99,188.09,36.3473,752.7,CAUTION
23790.0,14,9831.46,382.44,24.91,-0.4315,423.5,SAFE
8691.0,20,3239.97,131.97,29.51,4.9361,186.25,SAFE
8287.0,2,3410.9,189.76,68.77,137.537,258.52,HIGH_RISK
22758.0,21,9098.3,341.74,24.73,-0.0055,381.2,SAFE
23029.0,30,8831.84,459.63,183.86,0.0797,833.17,SAFE
13573.0,4,7014.78,283.54,71.67,-63.4545,385.06,SAFE
22629.0,3,9141.22,307.78,87.01,-106.2056,419.05,SAFE
20997.0,12,8588.91,565.52,310.25,-5.7074,1286.19,SAFE
24309.0,30,11066.98,623.4,139.9,15.7364,877.7,SAFE
11144.0,7,5359.44,233.47,61.16,29.9609,314.05,HIGH_RISK
10035.0,8,4651.31,180.52,45.92,19.7473,257.1,HIGH_RISK
23882.0,6,9859.36,459.25,118.1,66.6996,659.82,HIGH_RISK
8262.0,11,4335.78,166.31,39.0,12.1124,232.26,HIGH_RISK
22342.0,14,8665.32,489.59,116.88,27.9296,692.33,SAFE
23576.0,19,8402.75,629.3,263.29,-11.1392,1277.25,SAFE
22257.0,20,8139.5,950.59,430.84,20.5365,1759.79,SAFE
18846.0,30,9496.61,323.9,67.08,-7.3777,474.69,SAFE
17627.0,28,6185.82,254.15,58.08,-6.9379,365.62,SAFE
17030.0,6,8580.64,521.87,266.89,126.1847,1079.71,HIGH_RISK
11917.0,9,4152.64,303.81,74.04,27.7459,442.53,HIGH_RISK
23327.0,20,9413.4,672.05,46.59,1.374,743.26,SAFE
22892.0,12,9897.07,538.33,136.93,38.6013,748.25,CAUTION
20581.0,13,9213.05,264.82,59.13,15.4451,363.08,SAFE
8490.0,18,3503.86,170.44,36.97,6.9753,235.1,SAFE
17713.0,9,7260.17,429.73,24.43,-1.6385,476.94,SAFE
12248.0,13,4880.87,366.26,123.29,2.2429,680.02,CAUTION
22622.0,10,10902.0,431.56,20.16,0.447,472.82,SAFE
11332.0,20,5668.83,241.94,18.75,1.274,271.43,SAFE
19469.0,26,9484.53,399.87,83.75,-10.8523,536.02,SAFE
11793.0,28,5176.95,238.2,52.18,-6.15,347.57,SAFE
19298.0,27,8336.7,489.59,105.63,-13.0695,660.15,SAFE
18486.0,8,8571.96,450.11,36.64,-10.4987,495.78,SAFE
23708.0,2,8840.09,314.36,14.19,-28.3874,328.56,SAFE
23706.0,22,9904.78,977.3,290.86,4.4805,1769.68,SAFE
14240.0,1,5248.87,410.76,0.0,0.0,410.76,HIGH_RISK
18345.0,9,9049.97,233.04,13.77,2.6578,248.84,SAFE
8918.0,22,3274.01,190.62,47.4,-7.2665,276.88,SAFE
11768.0,23,4415.32,248.57,60.09,-8.8545,351.57,SAFE
8060.0,22,2842.34,219.34,51.06,-7.8385,321.46,SAFE
13398.0,23,5621.95,544.78,318.92,1.4471,1317.4,SAFE
18313.0,19,6835.81,436.4,87.8,15.4694,570.76,SAFE
20653.0,24,8530.96,700.38,296.14,-0.88,1359.26,SAFE
15853.0,28,7403.61,225.4,51.89,-6.2685,308.31,SAFE
11010.0,20,4652.14,242.64,52.4,-8.8004,346.74,SAFE
16269.0,16,6899.87,451.52,225.04,9.9209,1020.59,SAFE
21465.0,21,10455.38,442.63,95.86,-15.2554,629.9,SAFE
8773.0,8,3495.52,117.06,6.93,0.9312,126.69,SAFE
18492.0,14,9200.37,396.22,31.16,-1.9628,438.65,SAFE
23479.0,8,8923.29,709.06,223.97,44.5246,1138.77,HIGH_RISK
12938.0,23,4269.95,379.08,25.3,1.3955,423.56,SAFE
17145.0,23,6329.69,366.2,140.93,7.8621,605.7,SAFE
9798.0,8,3890.72,228.99,15.29,0.0136,253.46,CAUTION
17702.0,8,7230.44,318.27,86.65,-37.0792,464.64,SAFE
11908.0,22,5404.03,160.34,35.15,-5.334,214.99,SAFE
11681.0,4,5306.81,283.19,73.68,65.425,388.71,HIGH_RISK
23784.0,13,8883.42,684.03,49.59,-2.1634,765.31,SAFE
8835.0,7,3670.37,130.74,29.83,14.712,170.51,HIGH_RISK
13580.0,15,6053.74,343.64,160.85,0.6981,669.12,SAFE
8867.0,20,4122.15,130.14,10.45,-0.6604,147.0,SAFE
11516.0,8,4409.58,313.98,15.08,0.6096,331.04,CAUTION
12025.0,27,5681.44,407.81,198.22,3.0509,976.13,SAFE
21330.0,17,8626.1,580.18,50.03,2.6647,655.96,SAFE
22606.0,28,10003.32,726.73,339.51,10.5238,1742.14,SAFE
12163.0,15,4845.49,330.59,134.55,7.2139,636.43,SAFE
15857.0,5,6344.61,230.87,48.26,-34.0141,296.35,SAFE
19267.0,10,7263.9,472.23,254.46,-2.6639,1150.7,SAFE
19559.0,13,9880.52,301.05,73.08,19.1833,426.96,CAUTION
22419.0,7,10675.96,459.06,99.3,48.9562,602.75,HIGH_RISK
18109.0,7,6862.31,595.22,270.24,88.2194,908.54,HIGH_RISK
24016.0,13,11914.48,295.16,58.86,15.2906,395.04,SAFE
18889.0,15,7203.47,487.55,36.75,-2.0909,546.26,SAFE
8564.0,27,3739.55,185.31,39.8,-4.8807,257.52,SAFE
11007.0,10,3897.3,242.75,54.06,-18.3445,337.26,SAFE
10302.0,12,3601.17,270.03,20.86,1.4282,295.01,SAFE
12551.0,8,5376.51,220.9,10.54,1.2508,230.95,SAFE
23965.0,26,11498.8,565.75,38.41,0.2856,626.07,SAFE
12760.0,22,5178.24,228.72,51.0,7.619,330.86,SAFE
10063.0,27,4304.85,148.2,30.48,3.7377,192.65,SAFE
9752.0,16,4222.56,140.73,9.31,0.2687,154.96,SAFE
12766.0,19,6538.89,166.25,36.38,6.4125,235.22,SAFE
12067.0,4,5596.06,142.0,6.96,4.9647,150.69,CAUTION
22595.0,18,8847.52,625.73,145.04,-26.5306,927.86,SAFE
18473.0,1,6828.52,443.44,0.0,0.0,443.44,CAUTION
20061.0,9,8671.27,606.45,291.83,24.2894,1114.83,HIGH_RISK
16249.0,10,7689.28,341.55,111.3,13.747,482.97,CAUTION
20737.0,11,9095.81,298.57,23.45,3.8816,329.8,SAFE
14986.0,15,5448.61,442.76,93.66,20.949,613.04,CAUTION
11022.0,13,3931.7,164.56,38.6,9.9879,226.14,SAFE
9782.0,30,4035.58,175.58,36.18,-4.0478,239.36,SAFE
13643.0,13,5374.62,269.98,20.07,-2.6033,300.87,SAFE
9906.0,8,3484.29,278.75,74.57,32.1364,403.62,HIGH_RISK
11071.0,12,4975.97,284.99,21.14,-2.7977,309.95,SAFE
11677.0,14,4419.9,165.94,11.09,0.1923,183.07,SAFE
18976.0,1,7557.24,482.27,0.0,0.0,482.27,CAUTION
14475.0,30,5330.55,260.49,58.09,-6.4672,377.56,SAFE
17215.0,26,8158.19,314.11,99.06,-6.5966,447.55,SAFE
19953.0,11,7799.1,466.48,214.15,-1.504,860.52,SAFE
11253.0,7,4695.13,192.57,36.67,-17.9243,247.23,SAFE
10072.0,27,4955.39,146.0,31.15,3.8285,198.73,SAFE
17628.0,11,7803.05,417.61,171.21,-18.5464,698.06,SAFE
9164.0,5,3551.17,170.52,39.8,-27.7752,224.6,SAFE
15262.0,2,6791.29,390.19,149.72,299.435,539.91,HIGH_RISK
10972.0,17,4370.85,205.24,18.44,1.6329,236.97,SAFE
15637.0,10,6092.4,317.55,143.05,7.8667,649.47,SAFE
10983.0,28,5077.45,131.85,8.59,-0.1937,150.73,SAFE
23346.0,19,10611.32,563.93,41.22,-0.1717,624.61,SAFE
15271.0,13,6911.98,345.04,24.51,-1.5503,378.27,SAFE
16343.0,2,6777.21,450.56,104.48,-208.9623,555.04,SAFE
9242.0,28,3759.49,316.37,125.83,-1.3142,643.98,SAFE
17034.0,24,7736.59,314.94,121.48,2.4301,675.62,SAFE
13976.0,19,5373.74,334.63,76.27,13.4254,480.93,SAFE
19767.0,8,7866.4,561.24,33.37,5.3353,611.84,CAUTION
24607.0,6,12192.46,290.18,18.96,1.8326,319.23,SAFE
18218.0,10,8806.9,387.35,94.12,31.9871,541.94,HIGH_RISK
23690.0,22,9313.07,525.57,113.98,-17.2136,776.22,SAFE
23738.0,9,11587.73,425.06,28.26,2.6106,477.39,SAFE
21231.0,11,9084.01,442.56,30.9,-1.3786,510.08,SAFE
11400.0,12,4941.32,237.22,17.63,0.5446,260.32,SAFE
18435.0,11,8327.23,400.35,92.61,-28.2289,566.58,SAFE
23722.0,29,8813.5,569.52,126.26,-14.6879,797.61,SAFE
22605.0,24,10163.71,503.62,110.96,-15.5115,682.89,SAFE
24440.0,23,10382.11,498.4,32.82,0.6296,553.22,SAFE
24934.0,7,9673.82,964.49,392.32,93.3529,1637.93,HIGH_RISK
19586.0,24,7532.18,544.82,118.6,-16.5704,777.88,SAFE
19716.0,11,6670.01,573.17,123.12,37.9373,761.63,HIGH_RISK
24770.0,20,12202.27,400.05,21.88,-0.3481,446.16,SAFE
24682.0,7,9506.96,498.66,34.43,-2.6233,545.73,SAFE
18813.0,8,7342.62,662.46,301.93,13.1674,1245.38,HIGH_RISK
9490.0,9,4372.45,172.99,45.31,-17.0967,246.1,SAFE
19880.0,6,9356.72,311.99,25.96,14.4048,343.68,CAUTION
22158.0,8,8298.33,614.62,146.3,61.581,815.15,HIGH_RISK
19139.0,28,9319.36,453.2,103.38,-12.4415,662.47,SAFE
11203.0,4,5803.75,340.63,115.76,-33.439,451.32,SAFE
11201.0,30,4056.87,425.3,179.95,0.1301,755.73,SAFE
10191.0,9,5033.74,121.7,27.75,10.439,163.78,CAUTION
10486.0,4,4714.43,260.05,8.92,4.3017,269.1,HIGH_RISK
22274.0,29,10700.02,395.52,81.64,-9.3531,576.76,SAFE
11144.0,4,5143.52,257.37,131.02,86.7092,467.39,HIGH_RISK
19340.0,26,8262.64,713.92,367.28,3.5907,1451.16,SAFE
9725.0,25,3689.04,333.02,130.95,-1.9274,672.34,SAFE
19161.0,2,8074.39,242.95,66.95,-133.9095,309.91,SAFE
13328.0,6,5957.2,314.03,68.61,38.6984,399.95,HIGH_RISK
11688.0,10,4644.59,241.2,63.76,-21.5318,347.98,SAFE
15522.0,20,7603.46,273.18,119.8,-1.6064,583.84,SAFE
16515.0,1,7432.32,178.32,0.0,0.0,178.32,SAFE
9019.0,2,3722.61,192.98,63.47,126.9427,256.45,HIGH_RISK
11003.0,9,5537.56,181.15,117.31,-2.2344,450.33,SAFE
11129.0,9,4566.4,217.53,50.13,18.8376,294.39,HIGH_RISK
8446.0,13,3128.22,336.8,102.83,11.6014,503.53,HIGH_RISK
20638.0,20,7513.06,499.26,104.55,-17.6621,680.5,SAFE
9613.0,28,4006.21,350.32,108.56,3.0664,496.57,SAFE
9785.0,7,3878.82,287.9,144.02,37.2113,604.35,HIGH_RISK
8364.0,26,4356.29,180.25,12.97,0.4057,197.86,SAFE
16378.0,30,6846.72,454.57,93.26,-10.2617,651.29,SAFE
14411.0,5,7177.09,175.82,45.74,31.7656,249.61,HIGH_RISK
9975.0,17,3986.05,273.24,21.35,-0.7325,303.43,SAFE
20888.0,28,8855.5,321.75,19.78,-0.2646,357.29,SAFE
12242.0,26,4767.82,300.18,16.32,0.4566,328.49,SAFE
17677.0,16,6099.71,469.18,25.94,0.1677,509.22,SAFE
12311.0,23,4148.67,399.09,171.54,4.9499,868.46,SAFE
13901.0,18,6050.46,317.58,69.76,13.1061,436.89,SAFE
23856.0,12,10873.44,392.48,90.68,-25.3779,548.52,SAFE
8598.0,13,3630.79,162.43,37.22,-9.6398,224.93,SAFE
8929.0,5,3097.65,216.02,45.57,-32.0422,282.57,SAFE
8916.0,13,2955.62,224.26,45.56,-11.924,294.75,SAFE
11695.0,21,4112.89,265.76,56.7,-9.0322,372.73,SAFE
21280.0,27,9110.69,525.21,114.16,14.1072,743.88,SAFE
21824.0,12,8716.71,535.1,117.45,-32.0185,759.02,SAFE
14142.0,16,7151.86,263.97,20.27,-1.1947,292.99,SAFE
13041.0,29,6021.77,367.17,155.12,4.3019,748.33,SAFE
9004.0,15,4363.09,164.28,35.13,7.779,228.46,SAFE
15032.0,19,7346.59,225.15,116.58,-5.4004,530.92,SAFE
21435.0,19,7568.46,513.22,106.27,-18.7154,675.92,SAFE
9473.0,25,3118.44,302.03,19.03,-0.1889,327.85,SAFE
24301.0,3,10798.66,508.58,20.5,-21.5285,537.57,SAFE
13782.0,19,6586.24,402.9,123.92,-2.5482,613.3,SAFE
9892.0,27,4108.88,265.97,59.54,7.4468,381.53,SAFE
11215.0,18,3803.57,212.85,45.43,8.464,286.1,SAFE
16232.0,8,7897.86,295.28,72.18,30.3971,405.95,HIGH_RISK
11573.0,3,4340.36,272.35,95.63,116.9855,386.04,HIGH_RISK
18786.0,28,9804.25,388.97,161.04,-2.6216,757.2,SAFE
18268.0,29,7349.37,340.85,74.23,8.4202,506.88,SAFE
11186.0,21,4458.15,238.66,15.09,-1.2283,262.52,SAFE
17046.0,25,8062.17,365.67,162.8,3.472,806.8,SAFE
16664.0,21,5857.39,737.55,328.51,9.0324,1325.62,SAFE
11514.0,7,4568.17,403.6,112.34,19.4297,597.13,HIGH_RISK
9750.0,27,3454.18,156.08,32.29,3.9995,210.57,SAFE
20714.0,10,9174.33,322.43,68.95,23.4431,420.17,CAUTION
21665.0,9,9518.0,411.17,90.96,34.1969,516.4,HIGH_RISK
14461.0,17,6191.52,247.44,56.45,11.1584,350.22,SAFE
16245.0,23,7169.51,425.0,87.31,12.5656,596.38,SAFE
22799.0,8,9949.3,462.16,31.56,-5.5645,526.13,SAFE
13153.0,7,4658.27,354.53,12.52,0.5037,376.35,CAUTION
8569.0,29,3037.66,390.77,205.57,5.6972,913.19,SAFE
23929.0,12,8882.69,328.34,74.39,21.2317,438.54,SAFE
22688.0,2,9774.54,948.69,124.3,248.6032,1072.99,HIGH_RISK
23932.0,26,11475.81,646.61,335.49,-6.4833,1415.93,SAFE
17551.0,24,9016.93,294.62,60.64,8.4322,401.07,SAFE
17029.0,19,6713.28,234.89,12.95,-0.3295,255.57,SAFE
18482.0,18,7469.57,261.4,60.0,-11.284,352.9,SAFE
11033.0,14,4399.09,142.87,8.89,-0.2635,161.05,SAFE
24991.0,26,8270.16,496.03,35.06,0.3595,558.51,SAFE
23926.0,13,11090.89,710.13,358.73,-38.7323,1634.13,SAFE
14375.0,27,6116.42,322.97,69.71,8.5326,456.93,SAFE
8784.0,21,3814.81,227.18,47.66,-7.6348,324.01,SAFE
20712.0,5,8679.37,314.56,74.47,-52.2157,408.57,SAFE
15971.0,6,7909.58,363.77,34.05,-6.2378,398.63,CAUTION
15631.0,15,6093.27,270.69,59.81,13.239,403.89,SAFE
22955.0,5,8635.08,392.43,212.1,89.2975,659.23,HIGH_RISK
23976.0,5,10011.73,351.14,83.53,55.776,454.79,HIGH_RISK
15232.0,3,5331.81,429.36,133.06,-162.2943,600.22,SAFE
12791.0,25,4674.32,400.87,106.88,-1.4626,614.23,SAFE
10504.0,25,4320.13,287.02,58.13,7.6129,390.85,SAFE
20342.0,16,8774.38,459.5,166.5,-17.8568,703.73,SAFE
8976.0,28,3686.34,230.03,48.13,5.763,322.73,SAFE
11527.0,20,5064.27,200.67,12.79,0.2367,230.22,SAFE
